timestamps,TP9,AF7,AF8,TP10,Right AUX
1626062628.4245448,-47.363,-32.227,-30.761999999999997,-145.996,1.0
1626062628.428451,-97.16799999999999,-32.227,-33.203,-343.26199999999994,1.0
1626062628.432357,-31.738000000000003,-20.508000000000003,-34.668,12.695,1.0
1626062628.4362638,21.484,-7.812,-44.922,280.762,1.0
1626062628.4401696,-42.48,-16.602,-40.039,-27.831999999999997,1.0
1626062628.4440763,-111.816,-23.438000000000002,-29.785,-355.469,1.0
1626062628.447982,-62.5,-25.879,-20.508000000000003,-102.539,1.0
1626062628.4518883,16.113,-42.48,-15.137,271.48400000000004,1.0
1626062628.455795,-8.789,-65.918,-22.949,100.586,1.0
1626062628.459701,-92.773,-65.43,-20.996,-302.73400000000004,1.0
1626062628.463607,-102.051,-46.875,-22.949,-230.46900000000002,1.0
1626062628.4675136,-11.23,-38.086,-26.855,196.28900000000002,1.0
1626062628.4714196,6.348,-25.879,-52.733999999999995,197.75400000000002,1.0
1626062628.475326,-8.301,-27.344,-36.133,-239.25799999999998,1.0
1626062628.4792323,-89.355,-29.296999999999997,-17.09,-300.781,1.0
1626062628.4831386,-96.68,-49.805,-23.926,122.07,1.0
1626062628.4870448,-8.301,-49.316,-30.761999999999997,265.625,1.0
1626062628.490951,23.926,-28.32,-35.645,-132.32399999999998,1.0
1626062628.4948573,-57.617,-20.996,-35.156,-371.582,1.0
1626062628.4987636,-102.051,-30.273000000000003,-37.109,-27.831999999999997,1.0
1626062628.5026696,-21.484,-34.668,-41.992,276.855,1.0
1626062628.506576,30.273000000000003,-21.484,-37.109,11.719000000000001,1.0
1626062628.5104823,-37.109,-14.648,-29.785,-344.727,1.0
1626062628.5143886,-100.586,-15.137,-27.831999999999997,-135.74200000000002,1.0
1626062628.5182948,-77.148,-15.137,-19.043,-315.918,1.0
1626062628.522201,-22.461,-39.551,-30.273000000000003,45.41,1.0
1626062628.5261073,19.043,-53.711000000000006,-27.344,275.39099999999996,1.0
1626062628.5300136,-36.133,-47.363,-36.133,-53.711000000000006,1.0
1626062628.5339198,-97.16799999999999,-50.781000000000006,-39.062,-358.398,1.0
1626062628.537826,-55.663999999999994,-41.992,-27.344,-82.031,1.0
1626062628.5417323,11.23,-13.184000000000001,-35.645,267.578,1.0
1626062628.5456386,-12.695,-0.488,-35.156,68.848,1.0
1626062628.549545,-103.516,-13.672,-34.668,-331.543,1.0
1626062628.553451,-84.473,-19.043,-54.199,-217.285,1.0
1626062628.557357,13.672,-40.527,-45.898,208.49599999999998,1.0
1626062628.5612638,11.23,-52.733999999999995,-17.09,175.78099999999998,1.0
1626062628.5651696,4.395,-58.593999999999994,-33.691,1.0,1.0
1626062628.5690758,-92.773,-52.733999999999995,-54.199,1.0,1.0
1626062628.572982,-80.078,-17.09,-39.551,1.0,1.0
1626062628.5768883,15.137,-6.836,-26.855,1.0,1.0
1626062628.580795,23.926,-20.02,-27.831999999999997,1.0,1.0
1626062628.584701,-48.34,-32.227,-17.09,1.0,1.0
1626062628.5886073,-75.684,-49.316,-9.766,1.0,1.0
1626062628.5925136,-14.16,-38.574,-11.719000000000001,1.0,1.0
1626062628.5964196,31.25,-17.578,-26.366999999999997,1.0,1.0
1626062628.600326,-26.366999999999997,-29.785,-29.785,1.0,1.0
1626062628.6042323,-88.37899999999999,-49.805,-23.926,1.0,1.0
1626062628.6081383,-30.273000000000003,-41.504,-23.438000000000002,1.0,1.0
1626062628.6120448,-20.02,-35.156,-21.484,83.49600000000001,1.0
1626062628.615951,24.901999999999997,-26.855,-35.156,280.762,1.0
1626062628.6198573,-26.855,-13.184000000000001,-50.781000000000006,-60.059,1.0
1626062628.6237636,-85.449,-21.973000000000003,-36.621,-345.215,1.0
1626062628.6276698,-33.691,-28.809,-22.461,-49.805,1.0
1626062628.631576,41.992,-40.527,-26.366999999999997,301.758,1.0
1626062628.6354823,11.23,-36.133,-13.672,84.961,1.0
1626062628.6393886,-81.055,-25.879,-21.973000000000003,-311.035,1.0
1626062628.6432948,-72.75399999999999,-27.831999999999997,-39.551,-182.61700000000002,1.0
1626062628.647201,8.789,-29.296999999999997,-32.227,229.98,1.0
1626062628.6511073,8.789,-35.645,-30.761999999999997,163.086,1.0
1626062628.6550138,-74.707,-43.945,-34.18,-273.926,1.0
1626062628.6589198,8.789,-29.785,-16.113,30.761999999999997,1.0
1626062628.662826,-92.773,-37.109,-41.016000000000005,-343.75,1.0
1626062628.6667323,-61.035,-29.785,-35.156,-141.602,1.0
1626062628.6706386,30.273000000000003,-7.812,-24.414,262.207,1.0
1626062628.6745448,5.859,-11.23,-29.785,124.512,1.0
1626062628.678451,-90.33200000000001,-31.25,-39.551,-299.316,1.0
1626062628.682357,-97.16799999999999,-45.898,-36.621,-253.418,1.0
1626062628.6862638,-5.371,-40.039,-29.785,173.34,1.0
1626062628.6901696,26.366999999999997,-32.227,-42.968999999999994,216.30900000000003,1.0
1626062628.6940763,-46.387,-45.898,-48.34,-199.21900000000002,1.0
1626062628.697982,-83.984,-47.363,-27.344,-314.941,1.0
1626062628.7018883,-20.02,-38.086,-14.16,84.473,1.0
1626062628.705795,17.578,-32.715,-30.273000000000003,1.0,1.0
